 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ] , [ B b5 ]  The Ruy Lopez also known as the Spanish Game. Or the Spanish Torture.
 [ B b5 + ]  [ B d7 ]  [ B x d7 + ]  [ Q x d7 ]  [ d x c5 ]  [ b x c5 ]  [ e x f6 ] , [ N x f6 ]  9. ….. [ N x f6 ] - black's position has improved after this plethora of exchanges. He does have a strong pawn centre.
 [ R x e6 ]  [ Q a4 ]  [ Q b5 ]  [ Q f4 ]  [ B e7 ]  [ b4 ]  [ Q b6 ]  [ a3 ]  [ R e2 ]  [ h4 ]  [ Q b5 ] , [ R x d6 ]  Another bad trade. This time White doesn't even get even material on his investment. White wanted an opportunity for a back rank mate but Black controls the [ e8 ] square twice and has time to advance the h or g pawn.
 [ a x b5 ] , [ B e6 ]  Trying desperately to save something.
 [ B b7 ]  [ c4 ]  [ Q c6 ] , [ d5 ]  Again the Black Queen is being harassed by supported pawns
 [ c x b5 ]  [ O-O ]  [ N d3 ]  [ c x b5 ]  [ Q x b5 ] , [ Q c2 ]  Black was to lose either the queen or the bishop.
 [ c4 ]  [ N f6 ]  [ g3 ]  [ e5 ]  [ B g2 ]  [ B c5 ]  [ N c3 ]  [ O-O ]  [ N f3 ]  [ N c6 ]  [ O-O ]  [ R e8 ]  [ d3 ]  [ h6 ]  [ a3 ]  [ a5 ]  [ e3 ]  [ d6 ]  [ b3 ]  [ B g4 ]  [ h3 ]  [ B h5 ]  [ B b2 ]  [ e4 ]  [ d x e4 ]  [ N x e4 ]  [ N x e4 ]  [ R x e4 ]  [ Q d5 ]  [ B x f3 ]  [ B x f3 ]  [ R e8 ]  [ Q d1 ] , [ Q g5 ]  Inaccuracy. Best move according to engine was 17... [ N e5 ] 18. [ B x b7 ] [ R b8 ] 19. [ B d5 ] [ Q d7 ] 20. [ B c3 ] [ Q x h3 ] 21. [ B g2 ] [ Q g4 ] 22. [ B x a5 ] [ Q x d1 ] 23. R[ f x d1 ] [ R x b3 ] 24. [ B x c7 ] according to lichess.org
 [ N f3 ]  [ B g4 ]  [ O-O ]  [ h4 ]  [ h3 ]  [ B x f3 ]  [ Q x f3 ]  [ e6 ] , [ B c2 ]  ?! -- Al is perhaps already feeling a little uncomfortable: this sort of rough-and-tumble semi-open position is much more to my liking than his. Still in my opinion the text is the correct move.
 [ Q b6 ]  [ c5 ]  [ Q c6 ]  [ B d3 ]  [ B x e4 ]  [ B x e4 ]  [ Q e6 ]  [ Q b3 ]  [ Q x b3 ]  [ a x b3 ] , [ f5 ]  That was not that good for black. Or was it?
 [ R g f1 ]  [ K g8 ]  [ N e5 ]  [ B x e5 ] , [ d x e5 ]  24. [ d x [ [ e5 ] ] ] - the pawn push to [ [ e5 ] ] was scuppered by Ion playing his rook to f1. I would have lost a pawn if I had played [ [ e5 ] ] due to the rook pinning Fou Lenoir against Henry once his knight moved. However Ion gives himself a doubleton isolani on the same file as my own isolani so at least I have given him a bit of a concession. However there is a danger that Ion could make use of the f and d files for his rooks and so I must now prevent a rook incursion on my second rank by playing my rook to [ e7 ] on the next turn.
 [ Q e7 ] , [ B d3 ]  10. [ B d3 ] - for now though I continue to develop and watch where black puts his king.
 [ R a d1 ]  [ B a5 ]  [ N e3 ]  [ Q b5 ] , [ d4 ]  It's a forced move; otherwise I have to play Rf1. But I'm really unhappy with my pawn structure. I've never had a structure that looks like this in this opening.
 [ d5 ] , [ Q d6 ]  Mistake it seems to be a logical move but wrong the idea is to offer white to capture the knight on [ c6 ] and get very power full attack on the king and expose totally whites king side for example 21.dxc-Qg3+.22.Kh1-Qxh3+23.Nh2-[ N d3 ] with very Strong attack however the best move was 20...Na5!.21.Ne5-Qd6.22.Rxa5-Bxa5.23.Be7-Qxe7.24.Nxg6-Qxe1+.25.Qxe1-hxg...or 21.Ba4-[ Q d6 ] and black have big contra chances .
 [ R f c8 ]  [ Q c2 ]  [ b5 ]  [ f3 ]  [ e x f3 ]  [ R x f3 ] , [ Q c6 ]  Now we reached our position. Try take your moment in analyzing White choices. Do you see [ e7 ] ? Waw ! what an ideal position for our [ N c3 ] if it manages to go there through d5. How can we travel that distance if we are not going to do that at the cost of time ! So we need to gain time. How's that ? Material. Let us gain time by losing material then invest time to get to that space. Nevertheless it is still not obvious : 20. [ R x [ [ f6 ] ] ] [ g x [ [ f6 ] ] ] 21. [ Q f5 ] threatening Nxd5. If [ N x [ d5 ] ] then [ [ f6 ] ] will be won with a check. [ h6 ] also is in hand. White is unable to go to [ d7 ] lacking a defending piece and if B retreats to [ f8 ] then White mates with [ N x [ f6 ] + ] followed by Qxh6#. Unfortunately [ N b6 ] changes all this since it protects [ d5 ] and d7. But another way to go to [ [ f6 ] ] by the Knight is through [ e4 ] which is protected by d5. However this can be possible if N[ e4 ] discovers [ R c1 ] attacking the queen. So let's prepare it.
 [ c4 ] , [ g6 ]  A mini-tournament game. I am playing black and faced with the English Opening I choose 1. ... [ g6 ] because this often leads to the Kings Indian Defense which is one of my favorites because it tends to be more active than positional.
 [ R b1 ] , [ N x e2 + ]  I do not like that type of situation the only goal of the following moves is to open the game without giving any advantage to white
 [ Q x d3 ]  [ B g7 + ]  [ K h7 ]  [ B x f8 + ]  [ K h8 ]  [ B g7 + ]  [ K h7 ] , [ B x f6 + ]  Two Black peaces nearest to King leaved board!
 [ B x c3 ]  [ Q x c3 + ] , [ K f1 ]  ..white has no choice.....and now black gets material back...
 [ e4 ]  [ e5 ]  [ d x e6 ]  [ e ]  [ p ] , [ B x e6 ]  I preferred to let this e-column opened as my rook was already there.
 [ B g5 ]  [ N e4 ]  [ N x e4 ]  [ d x e4 ]  [ N e5 ] , [ f6 ]  Gotta watch out for those forks.
 [ N f6 ]  [ N c3 ] , [ N c6 ]  Two knights game.
 [ R e c1 ] , [ R f8 ]  now [ R x c5 ] is still valid
 [ B x e4 ]  [ d x e4 ]  [ Q x e4 ] , [ B f5 ]  This move is a mistake. It just gives away yet another pawn. Better was simply fxe.
 [ B e3 ]  [ B c8 ]  [ B g2 ] , [ B e6 ]  At least I've redeveloped my B where it is no longer biting on granite.
 [ h6 ] , [ e x f6 ]  I didn't want to retreat the bishop as [ g5 ] might follow if I did and that would give black advanced pawns on the kings side where I was looking to castle in future
 [ g6 ]  [ B d5 + ]  [ K g7 ] , [ Q e4 ]  Now I can withdraw the knight.
 [ h5 ] , [ N g5 ]  A good outpost for white here as he aims for the [ h7 ] square.
 [ Q e2 ] , [ g6 ]  To prevent [ N f5 ] or Qh5. It looks weird but hey he has not a dsb.
 [ K c7 ]  [ K e5 ] , [ g5 ]  34. ....... [ g5 ] - a desperate try to make the most of my kingside pawn majority. The plan I had was to advance the kingside pawns to divert the WK away from the [ [ e6 ] ] pawn. Note that without the a passer then provided I could get Henry safely to [ [ h8 ] ] then I could sac Fou Leblanc for the [ [ e6 ] ] pawn and then the game would have been drawn because white has a lsb and does not command the [ [ h8 ] ] square. White would have had nothing better than to give me the wrong kind of mate. However the a pawn is there and that makes all the difference.
 [ e x d5 ]  [ Q x d5 ] , [ N c3 ]  similar to the center counter I develop with tempo
 [ f x g6 ] , [ B g5 ]  ! I love this move. All of black's pawns are stymied and black's king has exactly 8 squares to play with. He cannot reach my bishop nor can he reach any of my pawns. He gets a lonely little 8-square prison cell to call home until I am ready to finish him off.
 [ B g5 ]  [ N x g5 ]  [ Q x g5 ]  [ Q e2 ]  [ b4 ]  [ N a4 ]  [ B a6 ]  [ B d3 ] , [ N h4 ]  threatening 20. ... [ B x d3 ] 21 [ Q x d3 ] [ Q x g2 ] mate
 [ R x f7 ]  [ Q x h6 ] , [ N x d4 ]  Now I'm in big trouble 25. Nxd4? [ Q x d4 + ] 26. [ K h1 ] Rxf1! 27. [ B x f1 ] [ Q f2 ] 28. [ Q b1 ] now black has up a few tempos to play around with while I try to figure out how to not lose a whole piece. So I chose a different option.
 [ N f3 ]  [ a6 ] , [ O-O ]  i like the way it started: i am well protected and i can concentrate on attack.
 [ B d5 + ]  [ K h2 ]  [ R d2 ] , [ N e3 ]  Black cannot take the f pawn due to the response [ K g1 ] with an attack on both black pieces that cannot both be saved. (Note not Kg3?? as [ R f3 + ] saves both pieces and loses the knight).
 [ R g8 ] , [ R h7 ]  If [ K x h5 ] then [ R g3 ] and suddenly black's game has life.
 [ e3 ]  [ N f6 ]  [ B c4 ]  [ e6 ] , [ d5 ]  white is weak but is trying to demolish my pawn/knight structure
 [ d4 ]  [ e x d4 ]  [ c x d4 ]  [ B b4 + ]  [ N c3 ] , [ B x c3 + ]  This move surprises me. There is no need to let a bishop go in this position; better to keep some pressure on. But hey I'll accept this trade gladly.
 [ B x e7 + ] , [ K c8 ]  40. ....... [ K c8 ] - Henry decides to stay on the queenside. Glenda will cover the kingside.
 [ Q h4 ]  [ Q e6 ] , [ B c4 ]  X-raying the queen
 [ B x c3 ] , [ b x c3 ]  And in fact I get it. Quite happy with this; two Bishops on what will soon be a fairly open board.
 [ R f8 ]  [ f x g7 ]  [ R x f1 + ]  [ K x f1 ] , [ K x g7 ]  26. ..... [ K x g7 ] - Matthew has simplified into an endgame a pawn up. That should really be enough to win although Matthew's extra pawn on [ e6 ] is backward so it may make things rather difficult there.
 [ b3 ]  [ N d7 ]  [ Q e2 ] , [ N c5 ]  Now knight go to action!
 [ Q x g6 + ]  [ K f8 ] , [ Q f7 # ]  
 [ Q a5 ]  [ N e6 ]  [ R c1 ] , [ g5 ]  The waste of time the bishop is not going to retreat. Of course [ N x f4 ] is bad - Qxc7#. The game could last a little longer after 28... [ K d7 ] 29. [ R x c6 ] [ K e7 ] (not 29... [ K x c6 ] 30. [ Q a4 + ] [ K b6 ] or [ K c5 ] and mate in a couple of moves) and for example 30.[ e5 ] fx[ e5 ] 31. [ B g5 + ] [ N x g5 ] 32. R[ a x c7 + ] and white must win soon.
 [ h3 ]  [ B h5 ]  [ d3 ]  [ h6 ]  [ B e3 ]  [ c5 ] , [ N c3 ]  I think [ N b d2 ] was better so I can move my queen out of the pin without having a ruined kingside
 [ e6 ]  [ f4 ] , [ B e7 ]  The Poisoned Pawn variation goes 7...Qb6. According to chessgames.com black actually wins more often than white in that variation. Maybe that would be a reason to start studying the English Attack.
 [ R d8 ] , [ c4 ]  I wait to take seeing something even more magneficent. Queen/rook diagonal is in need of some help HAHA
 [ B g7 ]  [ O-O ] , [ c6 ]  In addition to taking away the queen's knight's most natural developing square Black's move seems rather slow. White's rapid development gives him sufficient compensation for the pawn. Shredder recommends either 5...[ N c6 ] or 5...g4.
 [ B g7 ]  [ N g5 ] , [ R f d8 ]  Technically the fastest path to mate is 24. [ N x f7 ] [ N e5 ] 25. [ N x e5 + ] [ K f8 ] (25... [ K h8 ] 26. [ Q h5 + ] [ B h6 ] 27.[ Q x h6 + ] [ Q h7 ] 28. Ng6#) 26. [ Q f5 + ] [ K e8 ] (26... [ K e7 ] 27. [ N g6 + ] [ K d6 ] 28. Qd5#) (26... [ B f6 ] 27. [ Q x f6 + ] [ K e8 ] 28. [ B f7 + ] [ K f8 ] 29. Ng6#) 27. [ N d7 + ] [ B e5 ] 28. [ Q f7 # ]  [ Q x f7 + ]  [ K h8 ]  [ Q h5 + ]  [ K g8 ]  [ Q h7 + ]  [ K f8 ] , [ N e6 + ]  Black resigned. Suppose play were to continue ...
 [ Q x d5 ] , [ B e2 ]  Momentarily responding to the threat on my Knight. No sense in allowing Black to mess up my kingside pawns by trading on f3. Of course the immediate 5.c2-[ c4 ] was playable here.
 [ N e5 ] , [ N f5 ]  White places his knight on [ f5 ] and attacks the black biship on g7.
 [ g6 ] , [ R b7 ]  At this point I was thinking of exchanging my rook for that pawn -- anything to stop it.
 [ b5 ] , [ N x c6 ]  The first deviation from the main line. This knight exchange benefits black because it gives more time and space for queen side development.
 [ B d3 ] , [ N c5 ]  Moving the Knight to a further-advanced position.
 [ Q h4 ] , [ R g e1 ]  35. [ R g e1 ] - will make no difference to the result. I decided to delay the mate but somehow the most aggressive token move would have been d6. That would have allowed mate in 1. But now it gets really gruesome.
 [ h4 ] , [ Q d7 ]  29 [ Q d7 ] Trying to prevent [ h3 ] as well as promoting some counter play on QUeen side
 [ Q x d2 ]  [ Q x e4 + ] , [ K h2 ]  Where's the mate? Ejem...
 [ Q d5 ] , [ K e7 ]  38....... [ K e7 ] - Henry does his best to avoid being checked.
 [ B d2 ] , [ R d7 ]  There are two points to this. Black is planning to treble the heavy pieces on the d-file; and this rook also protects the bishop. Black is planning soon to unmask the b7-bishop's battery against the White Queen and that of the heavy pieces against the bishop at d2. Throughout this game so far Black has been playing a solid more or less risk-free positional style in the face of the active White pieces.
 [ R x h8 ]  [ g6 ]  [ R h7 + ]  [ K c6 ]  [ R c1 + ]  [ K b5 ] , [ R d7 ]  [ R d7 ] skewers the B and N gaining more material.
 [ N g6 ]  [ Q f6 ]  [ h3 ]  [ Q x g6 ]  [ Q e2 ]  [ Q h5 ] , [ Q d3 ]  Aronian played his Queen to [ d3 ] to protect his pawn on h3. (The [ g2 ] pawn is pinned by the Black bishop on b7)
 [ Q x b6 ] , [ N x d1 ]  Notice the position. Black has 5 pieces working collectively while white has a a lonely queen attacking nothing of value a knight tied down protecting [ e1 ] and a rook who has put a "Do not disturb" sign on his door......
 [ N x c4 ]  [ B x b7 ]  [ B x b7 ]  [ R x b7 ]  [ N b6 ] , [ Q f5 ]  The queen can't defend the rook directly: 16 [ Q e4 ] [ Q d7 ] (threatening 17 ... [ f5 ] and 18 ... Qc6) 17[ d x e5 ] [ R x e5 ] 18 [ Q f3 ] [ Q c8 ] 19 [ c4 ] [ d5 ] 20 [ B b2 ] [ R g5 ] 21 [ h4 ] [ R g6 ] 22 [ R x b6 ] [ a x b6 ] - . So White's only alternative is to keep the Black queen from reaching [ c6 ] or c8.
 [ d3 ] , [ e5 ]  3. [ [ d3 ] ] is not as aggressive - and not as good for that matter - as the standard 3. e5. I was tempted to play [ [ [ d5 ] ] ] and expected in reply either 4. [ N d2 ] or 4. [ [ e5 ] ] Nf6-[ d7 ] and after a later [ [ d4 ] ] by white we will go into a position similar to a variation of the Tarrasch Variation of the French Defence(1. [ e4 ] [ e6 ] 2. [ [ d4 ] ] [ [ [ d5 ] ] ] 3. [ N d2 ] [ N f6 ] 4. [ [ e5 ] ] Nfd7) where Black has an extra tempo because White has wasted a move by playing [ [ d3 ] ] and then d4. I thought at the time that Black would struggle to make the extra tempo count in a blocked position. I went for something more ambition. But wrongly! After the game a glance at the Gameknot World Database shows [ [ [ d5 ] ] ] was the better move.
 [ d x e5 ]  [ Q x g4 ]  [ N g6 ] , [ Q f5 ]  I was thinking about another pawn-winning line: 11. [ B x f7 + ] [ K x f7 ] 12. [ Q f5 + ] [ Q f6 ] 13. [ Q d7 + ] and then 14. [ Q d5 + ] to nab the knight on a5. But after 13. [ Q d7 + ] then [ N e7 ] blocks my queen from forking on d5. So instead I figured I'd play a "safer" threatening move by ganging up on f7.
 [ N f6 ]  [ N c3 ] , [ N c6 ]  !? Of course Anatoly Karpov plays the best move in this position: 5...[ e6 ]  [ B e7 ]  [ N f3 ]  [ N e4 ]  [ B x e7 ]  [ Q x e7 ]  [ B b5 ]  [ B d7 ]  [ O-O ] , [ N x c3 ]  Other moves are possible here.
 [ Q x e5 + ]  [ K f7 ]  [ N e4 ]  [ Q e7 ]  [ O-O ]  [ Q x e5 ]  [ d x e5 ]  [ B f5 ]  [ f3 ]  [ N e6 ]  [ N d6 + ]  [ B x d6 ]  [ e x d6 ] , [ B x c2 ]  perhaps this is the losing move. a point is a point but the king is still exposed and there is still that passed pawn to deal with.
 [ N x g4 ]  [ B x f7 + ]  [ K d7 ]  [ B e6 + ]  [ K c7 ] , [ B x g4 ]  9. [ B x g4 ] - I now have two pieces for Glenda and I have exposed the BK. Over the next few moves I tie down black and attack!
 [ N x e4 ]  [ N x e4 ]  [ d x e3 ] , [ f x e3 ]  A terrible oversight that loses a piece. the bishop is hanging / loose on b2.
 [ c x b5 ]  [ B x a1 ]  [ R x a1 ] , [ R a5 ]  now [ b6 ] would face Rxa4.
 [ O-O ] , [ O-O-O ]  I want a race and castling on the oppoaite side is the way to do it.
 [ B g7 ]  [ Q f3 ]  [ R b8 ]  [ R d e1 ]  [ Q a5 ]  [ B e4 ]  [ b5 ] , [ B d5 ]  This bishop now the strongest piece on the board - not so was 3-4 moves ago :-)
 [ g x f4 ]  [ R x f4 + ]  [ K e3 ] , [ Q f2 # ]  I hope you enjoyed this crazy game and you should think twice before overextending your kingside since I got into deep trouble around move 25
 [ Q b3 ] , [ Q c8 ]  Lasker played absolutely awful in this game. The right move was 4...Qb6.
 [ K x f5 ]  [ R d3 ] , [ R h7 ]  i don't know why he is doing such a weird move.
 [ B d6 ] , [ g3 ]  forcing knight to retreat
 [ N d4 ]  [ R c5 ]  [ B d2 ]  [ B x d3 ]  [ N e6 ]  [ R c8 ]  [ B x b4 ]  [ N c6 ]  [ N c5 + ] , [ K d6 ]  ({14:+6.02} 26. ... [ K d6 ] 27. [ R [ e6 ] + ] [ K c7 ] 28. [ N x d3 ] [ K d7 ] 29. [ N c5 + ] [ K e8 ] 30. [ B a3 ] [ N [ d4 ] ] 31. [ R e5 ] [ N c6 ] 32. [ R g5 ] [ N [ d4 ] ] 33. [ K h1 ] [ N c2 ] 34. [ R c1 ] [ N x a3 ] 35. [ b x a3 ] +-) ({17:+3.59} 26. ... [ K e8 ] 27. [ N x d3 ] [ N x e5 ] 28. [ N x e5 ] [ e6 ] 29. [ B x f8 ] [ K x f8 ] 30. [ N h f7 ] [ N d7 ] 31. [ f4 ] [ R c2 ] 32. [ b4 ] [ K e7 ] 33. [ a4 ] [ d4 ] 34. [ R d1 ] [ N x e5 ] 35. [ N x e5 ] +-)
 [ g5 ] , [ N h5 ]  19. Here I began to calculate and realized there were some problems because after [ N d5 ] there is a Nxc7/[ Q d8 ] threat that wins the house
 [ Q c7 ]  [ R f2 ]  [ K g7 ]  [ R c f1 ] , [ N h6 ]  I have to admit I didn't see it coming right
 [ B e5 + ] , [ K b1 ]  Too late. White allowed black to play 28. ... Be5+! uncontested by the white bishop. Much badness follows.
 [ Q e8 ]  [ Q e4 ]  [ N f6 ]  [ R f5 x f6 ]  [ g x f6 ]  [ R x f6 ]  [ K g8 ]  [ B c4 ]  [ K h8 ] , [ Q f4 ]  
 [ Q x e4 ]  [ N f6 ] , [ R x f6 ]  Sacrificing material when you're ahead is much easier but it's still pretty.
 [ Q x b1 ]  [ R x b1 ] , [ B e6 ]  its still a tough game ge is down a piece and a pwn and the queens are gone i relize that he is about to retake the pawn but still.
 [ N c x e5 ]  [ N x e5 ]  [ N x e5 ]  [ Q d4 ]  [ f6 ]  [ f4 ] , [ N c6 ]  As I already indicated Black was playing in accordance with a fixed plan and made all those moves quickly. However even after 16...[ N d7 ] 17.[ f5 ] White has a considerable advantage - taking the c5-pawn is not playable because of the pin on the a3-[ f8 ] diagonal.
 [ B x e3 + ]  [ B x e3 ]  [ R x e3 ] , [ N x f7 ]  [?!] Strong enough for a winning advantage and in fact the game is about to come to an abrupt premature end. But stronger in fact was 13.Bxf7ch [ K f8 ] (13...[ K h8 ] 14.Rxf6!) 14.Bg6!! ... (not an easy move to find it's true but the easier 14.Nxh7ch or even 14.[ R x f6 ] were also both good enough to win).
